algorithm_name,dataset_name,C,degree,gamma,kernel,mean_fit_time
kNN,make_moons,1,2,0.001,rbf,0.2214353879292806
kNN,make_moons,1,2,0.001,linear,0.14914623896280924
kNN,make_moons,1,2,0.001,poly,0.27115853627522785
kNN,make_moons,1,2,0.001,sigmoid,0.3620198567708333
kNN,make_moons,1,2,0.0001,rbf,0.3644777139027913
kNN,make_moons,1,2,0.0001,linear,0.14016040166219076
kNN,make_moons,1,2,0.0001,poly,0.26667030652364093
kNN,make_moons,1,2,0.0001,sigmoid,0.5609718958536783
kNN,make_moons,1,3,0.001,rbf,0.220078706741333
kNN,make_moons,1,3,0.001,linear,0.1351947784423828
kNN,make_moons,1,3,0.001,poly,0.3131612141927083
kNN,make_moons,1,3,0.001,sigmoid,0.34869980812072754
kNN,make_moons,1,3,0.0001,rbf,0.3485736846923828
kNN,make_moons,1,3,0.0001,linear,0.14873027801513672
kNN,make_moons,1,3,0.0001,poly,0.2781531016031901
kNN,make_moons,1,3,0.0001,sigmoid,0.5535589059193929
kNN,make_moons,1,4,0.001,rbf,0.2178922494252523
kNN,make_moons,1,4,0.001,linear,0.1464695930480957
kNN,make_moons,1,4,0.001,poly,0.2750944296518962
kNN,make_moons,1,4,0.001,sigmoid,0.3586747646331787
kNN,make_moons,1,4,0.0001,rbf,0.3480512301127116
kNN,make_moons,1,4,0.0001,linear,0.13208802541097006
kNN,make_moons,1,4,0.0001,poly,0.30189061164855957
kNN,make_moons,1,4,0.0001,sigmoid,0.6240925788879395
kNN,make_moons,20,2,0.001,rbf,0.18938676516215006
kNN,make_moons,20,2,0.001,linear,0.602177619934082
kNN,make_moons,20,2,0.001,poly,0.28577931722005206
kNN,make_moons,20,2,0.001,sigmoid,0.3594393730163574
kNN,make_moons,20,2,0.0001,rbf,0.19525837898254395
kNN,make_moons,20,2,0.0001,linear,0.4640408356984456
kNN,make_moons,20,2,0.0001,poly,0.2652711073557536
kNN,make_moons,20,2,0.0001,sigmoid,0.31026188532511395
kNN,make_moons,20,3,0.001,rbf,0.17651891708374023
kNN,make_moons,20,3,0.001,linear,0.44235531489054364
kNN,make_moons,20,3,0.001,poly,0.28185256322224933
kNN,make_moons,20,3,0.001,sigmoid,0.243667205174764
kNN,make_moons,20,3,0.0001,rbf,0.19275506337483725
kNN,make_moons,20,3,0.0001,linear,0.45699342091878253
kNN,make_moons,20,3,0.0001,poly,0.29085954030354816
kNN,make_moons,20,3,0.0001,sigmoid,0.3311910629272461
kNN,make_moons,20,4,0.001,rbf,0.17291951179504395
kNN,make_moons,20,4,0.001,linear,0.4744908809661865
kNN,make_moons,20,4,0.001,poly,0.27042945226033527
kNN,make_moons,20,4,0.001,sigmoid,0.24479945500691733
kNN,make_moons,20,4,0.0001,rbf,0.1974484920501709
kNN,make_moons,20,4,0.0001,linear,0.44119930267333984
kNN,make_moons,20,4,0.0001,poly,0.27412215868632
kNN,make_moons,20,4,0.0001,sigmoid,0.323375940322876
kNN,make_moons,100,2,0.001,rbf,0.17036970456441244
kNN,make_moons,100,2,0.001,linear,1.0925596555074055
kNN,make_moons,100,2,0.001,poly,0.2611648241678874
kNN,make_moons,100,2,0.001,sigmoid,0.2375631332397461
