algorithm_name,dataset_name,max_depth,max_features,min_samples_leaf,n_estimators,mean_fit_time
Random Forest,make_moons,1,auto,1,50,0.07061227162679036
Random Forest,make_moons,1,auto,1,51,0.06594204902648926
Random Forest,make_moons,1,auto,1,52,0.07202998797098796
Random Forest,make_moons,1,auto,1,53,0.07325410842895508
Random Forest,make_moons,1,auto,1,54,0.0731962521870931
Random Forest,make_moons,1,auto,1,55,0.06687124570210774
Random Forest,make_moons,1,auto,1,56,0.07418362299601237
Random Forest,make_moons,1,auto,1,57,0.07559871673583984
Random Forest,make_moons,1,auto,1,58,0.07402968406677246
Random Forest,make_moons,1,auto,1,59,0.07942136128743489
Random Forest,make_moons,1,auto,1,60,0.07728735605875652
Random Forest,make_moons,1,auto,1,61,0.07773367563883464
Random Forest,make_moons,1,auto,1,62,0.06647237141927083
Random Forest,make_moons,1,auto,1,63,0.08526062965393066
Random Forest,make_moons,1,auto,1,64,0.08725921312967937
Random Forest,make_moons,1,auto,1,65,0.08879820505777995
Random Forest,make_moons,1,auto,1,66,0.09025406837463379
Random Forest,make_moons,1,auto,1,67,0.09080712000528972
Random Forest,make_moons,1,auto,1,68,0.09276382128397624
Random Forest,make_moons,1,auto,1,69,0.09398023287455241
Random Forest,make_moons,1,auto,1,70,0.09477694829305013
Random Forest,make_moons,1,auto,1,71,0.09570082028706868
Random Forest,make_moons,1,auto,1,72,0.09760181109110515
Random Forest,make_moons,1,auto,1,73,0.09969472885131836
Random Forest,make_moons,1,auto,1,74,0.1004926363627116
Random Forest,make_moons,1,auto,1,75,0.10123904546101888
Random Forest,make_moons,1,auto,1,76,0.10248740514119466
Random Forest,make_moons,1,auto,1,77,0.10438394546508789
Random Forest,make_moons,1,auto,1,78,0.10508394241333008
Random Forest,make_moons,1,auto,1,79,0.10727604230244954
Random Forest,make_moons,1,auto,1,80,0.10788281758626302
Random Forest,make_moons,1,auto,1,81,0.10950517654418945
Random Forest,make_moons,1,auto,1,82,0.11056772867838542
Random Forest,make_moons,1,auto,1,83,0.11286052068074544
Random Forest,make_moons,1,auto,1,84,0.1247861385345459
Random Forest,make_moons,1,auto,1,85,0.11609125137329102
Random Forest,make_moons,1,auto,1,86,0.11758828163146973
Random Forest,make_moons,1,auto,1,87,0.11766274770100911
Random Forest,make_moons,1,auto,1,88,0.117859681447347
Random Forest,make_moons,1,auto,1,89,0.11986843744913737
Random Forest,make_moons,1,auto,1,90,0.12184890111287434
Random Forest,make_moons,1,auto,1,91,0.12230308850606282
Random Forest,make_moons,1,auto,1,92,0.12370737393697102
Random Forest,make_moons,1,auto,1,93,0.1251982053120931
Random Forest,make_moons,1,auto,1,94,0.12713058789571127
Random Forest,make_moons,1,auto,1,95,0.1276090939839681
Random Forest,make_moons,1,auto,1,96,0.1285244623819987
Random Forest,make_moons,1,auto,1,97,0.1306781768798828
Random Forest,make_moons,1,auto,1,98,0.13254261016845703
Random Forest,make_moons,1,auto,1,99,0.13336833318074545
Random Forest,make_moons,1,auto,1,100,0.13605737686157227
Random Forest,make_moons,1,auto,1,101,0.13597281773885092
Random Forest,make_moons,1,auto,1,102,0.13814115524291992
Random Forest,make_moons,1,auto,1,103,0.13827800750732422
Random Forest,make_moons,1,auto,1,104,0.14008434613545737
Random Forest,make_moons,1,auto,1,105,0.14127937952677408
Random Forest,make_moons,1,auto,1,106,0.14296793937683105
Random Forest,make_moons,1,auto,1,107,0.1437685489654541
Random Forest,make_moons,1,auto,1,108,0.14584565162658691
Random Forest,make_moons,1,auto,1,109,0.1470630168914795
Random Forest,make_moons,1,auto,1,110,0.15763243039449057
Random Forest,make_moons,1,auto,1,111,0.149338960647583
Random Forest,make_moons,1,auto,1,112,0.15202593803405762
Random Forest,make_moons,1,auto,1,113,0.15199502309163412
Random Forest,make_moons,1,auto,1,114,0.15383672714233398
Random Forest,make_moons,1,auto,1,115,0.15427247683207193
Random Forest,make_moons,1,auto,1,116,0.15610496203104654
Random Forest,make_moons,1,auto,1,117,0.15735618273417154
Random Forest,make_moons,1,auto,1,118,0.1595181624094645
Random Forest,make_moons,1,auto,1,119,0.15946197509765625
Random Forest,make_moons,1,auto,1,120,0.16274094581604004
Random Forest,make_moons,1,auto,1,121,0.16293048858642578
Random Forest,make_moons,1,auto,1,122,0.16461634635925293
Random Forest,make_moons,1,auto,1,123,0.16486549377441406
Random Forest,make_moons,1,auto,1,124,0.16648292541503906
Random Forest,make_moons,1,auto,1,125,0.16829276084899902
Random Forest,make_moons,1,auto,1,126,0.17028315862019858
Random Forest,make_moons,1,auto,1,127,0.17048962910970053
Random Forest,make_moons,1,auto,1,128,0.18230430285135904
Random Forest,make_moons,1,auto,1,129,0.17363850275675455
Random Forest,make_moons,1,auto,1,130,0.17623408635457358
Random Forest,make_moons,1,auto,1,131,0.17619220415751138
Random Forest,make_moons,1,auto,1,132,0.1779948870340983
Random Forest,make_moons,1,auto,1,133,0.17933162053426108
Random Forest,make_moons,1,auto,1,134,0.18091726303100586
Random Forest,make_moons,1,auto,1,135,0.18101978302001953
Random Forest,make_moons,1,auto,1,136,0.18393437067667642
Random Forest,make_moons,1,auto,1,137,0.18407495816548666
Random Forest,make_moons,1,auto,1,138,0.18593327204386392
Random Forest,make_moons,1,auto,1,139,0.18614021937052408
Random Forest,make_moons,1,auto,1,140,0.18777871131896973
Random Forest,make_moons,1,auto,1,141,0.1891798178354899
Random Forest,make_moons,1,auto,1,142,0.1917573610941569
Random Forest,make_moons,1,auto,1,143,0.1920943260192871
Random Forest,make_moons,1,auto,1,144,0.2055236498514811
Random Forest,make_moons,1,auto,1,145,0.19561457633972168
Random Forest,make_moons,1,auto,1,146,0.19763875007629395
Random Forest,make_moons,1,auto,1,147,0.19706996281941733
Random Forest,make_moons,1,auto,1,148,0.19822216033935547
Random Forest,make_moons,1,auto,1,149,0.1997358798980713
Random Forest,make_moons,1,auto,1,150,0.2015844980875651
Random Forest,make_moons,1,auto,1,151,0.20171213150024414
Random Forest,make_moons,1,auto,1,152,0.2040241559346517
Random Forest,make_moons,1,auto,1,153,0.19739874203999838
Random Forest,make_moons,1,auto,1,154,0.20771328608194986
Random Forest,make_moons,1,auto,1,155,0.20790727933247885
Random Forest,make_moons,1,auto,1,156,0.20918766657511392
Random Forest,make_moons,1,auto,1,157,0.21952207883199057
Random Forest,make_moons,1,auto,1,158,0.21275814374287924
Random Forest,make_moons,1,auto,1,159,0.2131800651550293
Random Forest,make_moons,1,auto,1,160,0.21460183461507162
Random Forest,make_moons,1,auto,1,161,0.2163060506184896
Random Forest,make_moons,1,auto,1,162,0.21872965494791666
Random Forest,make_moons,1,auto,1,163,0.21883416175842285
Random Forest,make_moons,1,auto,1,164,0.21907377243041992
Random Forest,make_moons,1,auto,1,165,0.22099892298380533
Random Forest,make_moons,1,auto,1,166,0.22338716189066568
Random Forest,make_moons,1,auto,1,167,0.22366944948832193
Random Forest,make_moons,1,auto,1,168,0.2243177890777588
Random Forest,make_moons,1,auto,1,169,0.22621591885884604
Random Forest,make_moons,1,auto,1,170,0.2293390432993571
Random Forest,make_moons,1,auto,1,171,0.22977495193481445
Random Forest,make_moons,1,auto,1,172,0.22946707407633463
Random Forest,make_moons,1,auto,1,173,0.2417724927266439
Random Forest,make_moons,1,auto,1,174,0.23434185981750488
Random Forest,make_moons,1,auto,1,175,0.23450684547424316
Random Forest,make_moons,1,auto,1,176,0.23553737004597983
Random Forest,make_moons,1,auto,1,177,0.2373658816019694
Random Forest,make_moons,1,auto,1,178,0.24017572402954102
Random Forest,make_moons,1,auto,1,179,0.23971899350484213
Random Forest,make_moons,1,auto,1,180,0.2414234479268392
Random Forest,make_moons,1,auto,1,181,0.24204587936401367
Random Forest,make_moons,1,auto,1,182,0.2458205223083496
Random Forest,make_moons,1,auto,1,183,0.2472524642944336
Random Forest,make_moons,1,auto,1,184,0.24602651596069336
Random Forest,make_moons,1,auto,1,185,0.2559828758239746
Random Forest,make_moons,1,auto,1,186,0.24973686536153158
Random Forest,make_moons,1,auto,1,187,0.250533660252889
Random Forest,make_moons,1,auto,1,188,0.2509297529856364
Random Forest,make_moons,1,auto,1,189,0.2527756690979004
Random Forest,make_moons,1,auto,1,190,0.25670957565307617
