algorithm_name,dataset_name,algorithm,leaf_size,n_neighbors,weights,mean_fit_time
kNN,make_regression,auto,25,1,uniform,0.0036333401997884116
kNN,make_regression,auto,25,1,distance,0.0035255750020345054
kNN,make_regression,auto,25,2,uniform,0.0035080909729003906
kNN,make_regression,auto,25,2,distance,0.0034462610880533853
kNN,make_regression,auto,25,3,uniform,0.003123124440511068
kNN,make_regression,auto,25,3,distance,0.003128210703531901
kNN,make_regression,auto,25,4,uniform,0.003253459930419922
kNN,make_regression,auto,25,4,distance,0.0031500657399495444
kNN,make_regression,auto,25,5,uniform,0.003333568572998047
kNN,make_regression,auto,25,5,distance,0.0032308101654052734
kNN,make_regression,auto,25,6,uniform,0.003214677174886068
kNN,make_regression,auto,25,6,distance,0.0031828880310058594
kNN,make_regression,auto,25,7,uniform,0.003158728281656901
kNN,make_regression,auto,25,7,distance,0.0031860669453938804
kNN,make_regression,auto,25,8,uniform,0.003188451131184896
kNN,make_regression,auto,25,8,distance,0.003178675969441732
kNN,make_regression,auto,25,9,uniform,0.0031232833862304688
kNN,make_regression,auto,25,9,distance,0.0032094319661458335
kNN,make_regression,auto,26,1,uniform,0.003202676773071289
kNN,make_regression,auto,26,1,distance,0.003175020217895508
kNN,make_regression,auto,26,2,uniform,0.0031604766845703125
kNN,make_regression,auto,26,2,distance,0.0031916300455729165
kNN,make_regression,auto,26,3,uniform,0.003170569737752279
kNN,make_regression,auto,26,3,distance,0.003169457117716471
kNN,make_regression,auto,26,4,uniform,0.003122568130493164
kNN,make_regression,auto,26,4,distance,0.0032432079315185547
kNN,make_regression,auto,26,5,uniform,0.0031565030415852866
kNN,make_regression,auto,26,5,distance,0.0032155513763427734
kNN,make_regression,auto,26,6,uniform,0.00318145751953125
kNN,make_regression,auto,26,6,distance,0.003246943155924479
kNN,make_regression,auto,26,7,uniform,0.0031948089599609375
kNN,make_regression,auto,26,7,distance,0.003202199935913086
kNN,make_regression,auto,26,8,uniform,0.003101905186971029
kNN,make_regression,auto,26,8,distance,0.0031461715698242188
kNN,make_regression,auto,26,9,uniform,0.003192265828450521
kNN,make_regression,auto,26,9,distance,0.0032415390014648438
kNN,make_regression,auto,27,1,uniform,0.0031244754791259766
kNN,make_regression,auto,27,1,distance,0.0031397342681884766
kNN,make_regression,auto,27,2,uniform,0.003184636433919271
kNN,make_regression,auto,27,2,distance,0.003209670384724935
kNN,make_regression,auto,27,3,uniform,0.0030786991119384766
kNN,make_regression,auto,27,3,distance,0.003107309341430664
kNN,make_regression,auto,27,4,uniform,0.003182013829549154
kNN,make_regression,auto,27,4,distance,0.0031971136728922525
kNN,make_regression,auto,27,5,uniform,0.0030937989552815757
kNN,make_regression,auto,27,5,distance,0.003148794174194336
kNN,make_regression,auto,27,6,uniform,0.0031652450561523438
kNN,make_regression,auto,27,6,distance,0.003174861272176107
kNN,make_regression,auto,27,7,uniform,0.003111124038696289
kNN,make_regression,auto,27,7,distance,0.003118753433227539
kNN,make_regression,auto,27,8,uniform,0.003203868865966797
kNN,make_regression,auto,27,8,distance,0.0032383600870768228
kNN,make_regression,auto,27,9,uniform,0.003114779790242513
kNN,make_regression,auto,27,9,distance,0.0031387805938720703
kNN,make_regression,auto,28,1,uniform,0.003195683161417643
kNN,make_regression,auto,28,1,distance,0.0031821727752685547
kNN,make_regression,auto,28,2,uniform,0.0031032562255859375
kNN,make_regression,auto,28,2,distance,0.0031249523162841797
kNN,make_regression,auto,28,3,uniform,0.0031883716583251953
kNN,make_regression,auto,28,3,distance,0.00313719113667806
kNN,make_regression,auto,28,4,uniform,0.0031032562255859375
kNN,make_regression,auto,28,4,distance,0.0031360785166422525
kNN,make_regression,auto,28,5,uniform,0.003195524215698242
kNN,make_regression,auto,28,5,distance,0.0031604766845703125
kNN,make_regression,auto,28,6,uniform,0.003149271011352539
kNN,make_regression,auto,28,6,distance,0.0031336148579915366
kNN,make_regression,auto,28,7,uniform,0.003196159998575846
kNN,make_regression,auto,28,7,distance,0.0031898021697998047
kNN,make_regression,auto,28,8,uniform,0.003156423568725586
kNN,make_regression,auto,28,8,distance,0.003116448720296224
kNN,make_regression,auto,28,9,uniform,0.0032285849253336587
kNN,make_regression,auto,28,9,distance,0.003186464309692383
kNN,make_regression,auto,29,1,uniform,0.0030967394510904946
